      POKEMON       |                            PACK                            
----------------------------------------------------------------------------------
     Bulbasaur      |           Genetic Apex (A1)Mewtwo, PromoPromo-A            
      Ivysaur       |                  Genetic Apex (A1)Mewtwo                   
      Venusaur      |           Genetic Apex (A1)Mewtwo, PromoPromo-A            
    Venusaur ex     |                  Genetic Apex (A1)Mewtwo                   
      Caterpie      |                  Genetic Apex (A1)Pikachu                  
      Metapod       |                  Genetic Apex (A1)Pikachu                  
     Butterfree     |           Genetic Apex (A1)Pikachu, PromoPromo-A           
       Weedle       |                  Genetic Apex (A1)Mewtwo                   
       Kakuna       |                  Genetic Apex (A1)Mewtwo                   
      Beedrill      |                  Genetic Apex (A1)Mewtwo                   
       Oddish       |                 Genetic Apex (A1)Charizard                 
       Gloom        |                 Genetic Apex (A1)Charizard                 
     Vileplume      |                 Genetic Apex (A1)Charizard                 
       Paras        |                  Genetic Apex (A1)Pikachu                  
      Parasect      |                  Genetic Apex (A1)Pikachu                  
      Venonat       |                  Genetic Apex (A1)Mewtwo                   
      Venomoth      |                  Genetic Apex (A1)Mewtwo                   
     Bellsprout     |                 Genetic Apex (A1)Charizard                 
     Weepinbell     |                 Genetic Apex (A1)Charizard                 
     Victreebel     |                 Genetic Apex (A1)Charizard                 
     Exeggcute      |    Genetic Apex (A1)Charizard, Mythical Island (A1a)Mew    
     Exeggutor      |                  Mythical Island (A1a)Mew                  
    Exeggutor ex    |                 Genetic Apex (A1)Charizard                 
      Tangela       |                 Genetic Apex (A1)Charizard                 
      Scyther       |                  Genetic Apex (A1)Mewtwo                   
       Pinsir       |      Genetic Apex (A1)Any, Genetic Apex (A1)Charizard      
      Cottonee      |                    Genetic Apex (A1)Any                    
     Whimsicott     |                    Genetic Apex (A1)Any                    
      Petilil       |                    Genetic Apex (A1)Any                    
     Lilligant      |                    Genetic Apex (A1)Any                    
       Skiddo       |                 Genetic Apex (A1)Charizard                 
       Gogoat       |                 Genetic Apex (A1)Charizard                 
     Charmander     |                 Genetic Apex (A1)Charizard                 
     Charmeleon     |                 Genetic Apex (A1)Charizard                 
     Charizard      |                 Genetic Apex (A1)Charizard                 
    Charizard ex    |      Genetic Apex (A1)Charizard, Genetic Apex (A1)Any      
       Vulpix       |                 Genetic Apex (A1)Charizard                 
     Ninetales      |                 Genetic Apex (A1)Charizard                 
     Growlithe      |                  Genetic Apex (A1)Pikachu                  
      Arcanine      |                  Genetic Apex (A1)Pikachu                  
    Arcanine ex     |                  Genetic Apex (A1)Pikachu                  
       Ponyta       |       Genetic Apex (A1)Any, Mythical Island (A1a)Mew       
